index,id,SMILES,FFV,SMILES_Length,Stars,Carbons,Oxygens,Nitrogens,Equals,split,MolWt,NumValenceElectrons,TPSA,AliphRings,AroRings,Rotatable_Bonds,H_Bonds,Balaban_J_value
2800,761786133,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(S(=O)(=O)c4ccc(-c5ccc(S(=O)(=O)c6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,0.3714925,92,2,36,8,0,6,valid,680.7810000000003,234.0,120.88,0.0,6.0,10.0,4.0,1.122685582842258
7684,2072168111,*Nc1ccc(-c2ccc(N*)c([C@H]3C[C@H](C)CC[C@H]3C(C)C)c2[C@@H]2C[C@@H](C)CC[C@@H]2C(C)C)cc1,0.3809251,86,2,32,0,2,0,valid,458.73400000000026,184.0,24.06,2.0,2.0,7.0,2.0,1.9873699797783748
7779,2098169121,*Oc1ccc(-c2ccc(Oc3ccc(C(=Nc4ccc(N=C(c5ccccc5)c5ccc(*)cc5)cc4)c4ccccc4)cc3)cc2)cc1,0.37996197,81,2,44,2,2,2,valid,618.7360000000003,228.0,43.18,0.0,7.0,10.0,2.0,1.124663555003351
3444,943239154,*Oc1cccc(NC(=O)CCCCCCC(=O)Nc2ccc(*)cc2)c1,0.34067938,41,2,20,3,2,2,valid,338.407,130.0,67.42999999999999,0.0,2.0,10.0,3.5,1.5495011708482502
4618,1245611127,*CC(O*)c1ccccc1,0.36793308,15,2,8,1,0,0,valid,120.15099999999995,46.0,9.23,0.0,1.0,3.0,0.5,2.7384989427199034
3638,988391543,*Nc1c(C)c(Cc2ccccc2)c(Cc2ccccc2)c(C(Cc2ccccc2)Cc2ccccc2)c1N*,0.36124078,60,2,36,0,2,0,valid,494.68200000000024,188.0,24.06,0.0,5.0,11.0,2.0,1.762515521404802
4252,1149199303,*CC(*)(C)C(=O)OCC=C,0.34181464,19,2,7,2,0,2,valid,126.15499999999997,50.0,26.3,0.0,0.0,4.0,1.0,3.9082943324184787
3914,1059454282,*C(Cl)=C(*)CCCCCCCC,0.40192369,19,2,10,0,0,1,valid,172.69899999999996,64.0,0.0,0.0,0.0,7.0,0.0,3.215403846981875
3855,1046009311,*C(C)=C(*)SCC,0.42702088,13,2,5,0,0,1,valid,100.18599999999999,34.0,0.0,0.0,0.0,2.0,0.0,3.617435444951364
1358,367735151,*C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(Oc5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc4)cc2)C3=O)cc1,0.35220439,100,2,42,10,2,6,valid,714.6420000000003,260.0,145.82,2.0,6.0,9.0,6.0,0.8759943038970439
2459,671093250,*c1ccc(Oc2ccc(C(C)(c3ccccc3)c3ccc(Oc4ccc(-c5nc(-c6ccccn6)nnc5*)cc4)cc3)cc2)cc1,0.39778842,78,2,40,2,4,0,valid,596.6900000000003,220.0,70.02000000000001,0.0,7.0,9.0,3.0,1.1102892059359148
1477,396309311,*C(=O)Nc1c(C)cc(Cc2cc(C)c(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(N=Nc5ccc([N+](=O)[O-])cc5)c(N5C(=O)c6ccc(*)cc6C5=O)c3)C4=O)c(C)c2)cc1C,0.37558403,126,2,47,8,7,8,valid,823.8219999999999,304.0,200.82,2.0,6.0,10.0,8.5,1.0577702285108768
2910,791644318,*C(=O)Oc1ccc(OCCCCCCCCCCCCOc2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(S(=O)(=O)c5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc3)C4=O)cc2)cc1,0.35374697,121,2,54,12,2,8,valid,947.0310000000001,350.0,179.95999999999998,2.0,6.0,22.0,7.0,0.7347568565658781
7442,2010970125,*NCC(C)(C)N*,0.32677864,12,2,4,0,2,0,valid,86.13799999999999,36.0,24.06,0.0,0.0,3.0,2.0,3.373381552563661
2838,771410628,*C(=O)OCC(COc1ccc(N=Nc2ccc(C#N)cc2)cc1)OC(=O)c1ncccc1*,0.3600163,54,2,23,5,4,3,valid,428.40400000000017,158.0,123.23,0.0,3.0,9.0,4.5,1.5934772004386881
