index,id,SMILES,FFV,SMILES_Length,Stars,Carbons,Oxygens,Nitrogens,Equals,split
2800,761786133,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(S(=O)(=O)c4ccc(-c5ccc(S(=O)(=O)c6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,0.3714925,92,2,36,8,0,6,train
7684,2072168111,*Nc1ccc(-c2ccc(N*)c([C@H]3C[C@H](C)CC[C@H]3C(C)C)c2[C@@H]2C[C@@H](C)CC[C@@H]2C(C)C)cc1,0.3809251,86,2,32,0,2,0,train
7779,2098169121,*Oc1ccc(-c2ccc(Oc3ccc(C(=Nc4ccc(N=C(c5ccccc5)c5ccc(*)cc5)cc4)c4ccccc4)cc3)cc2)cc1,0.37996197,81,2,44,2,2,2,train
3444,943239154,*Oc1cccc(NC(=O)CCCCCCC(=O)Nc2ccc(*)cc2)c1,0.34067938,41,2,20,3,2,2,train
4618,1245611127,*CC(O*)c1ccccc1,0.36793308,15,2,8,1,0,0,train
3638,988391543,*Nc1c(C)c(Cc2ccccc2)c(Cc2ccccc2)c(C(Cc2ccccc2)Cc2ccccc2)c1N*,0.36124078,60,2,36,0,2,0,train
4252,1149199303,*CC(*)(C)C(=O)OCC=C,0.34181464,19,2,7,2,0,2,train
3914,1059454282,*C(Cl)=C(*)CCCCCCCC,0.40192369,19,2,10,0,0,1,train
3855,1046009311,*C(C)=C(*)SCC,0.42702088,13,2,5,0,0,1,train
1358,367735151,*C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(Oc5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc4)cc2)C3=O)cc1,0.35220439,100,2,42,10,2,6,train
2459,671093250,*c1ccc(Oc2ccc(C(C)(c3ccccc3)c3ccc(Oc4ccc(-c5nc(-c6ccccn6)nnc5*)cc4)cc3)cc2)cc1,0.39778842,78,2,40,2,4,0,train
1477,396309311,*C(=O)Nc1c(C)cc(Cc2cc(C)c(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(N=Nc5ccc([N+](=O)[O-])cc5)c(N5C(=O)c6ccc(*)cc6C5=O)c3)C4=O)c(C)c2)cc1C,0.37558403,126,2,47,8,7,8,train
2910,791644318,*C(=O)Oc1ccc(OCCCCCCCCCCCCOc2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(S(=O)(=O)c5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc3)C4=O)cc2)cc1,0.35374697,121,2,54,12,2,8,train
7442,2010970125,*NCC(C)(C)N*,0.32677864,12,2,4,0,2,0,train
2838,771410628,*C(=O)OCC(COc1ccc(N=Nc2ccc(C#N)cc2)cc1)OC(=O)c1ncccc1*,0.3600163,54,2,23,5,4,3,train
3677,996351908,*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3cc(C(C)(C)C)c(Oc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)c(C(C)(C)C)c3)cc1)C2=O,0.41502916,103,2,43,6,2,5,train
2249,610301577,*CCOCCOCCOC(=O)CCCCCC(=O)O*,0.33929278,27,2,13,6,0,2,train
148,45108843,*O[Si](C)(CCC(F)(F)F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Si](*)(C)CCC(F)(F)F,0.36246435,115,2,22,1,0,0,train
5881,1594981326,*CC(=O)Nc1ccc(Oc2c(F)c(F)c(Oc3ccc(NC(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3)c(F)c2F)cc1,0.33657991,80,2,29,6,3,4,train
2220,602240929,*c1cccc(-c2cc(C(=O)Nc3ccc(OC(=O)c4cc(OCCCCCCCCCCCC)c(OCCCCCCCCCCCC)c(OCCCCCCCCCCCC)c4)cc3)cc(-c3cccc(N4C(=O)c5ccc(S(=O)(=O)c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)c3)c2)c1,0.3719363,164,2,84,12,3,8,train
914,254408923,*c1cccc(OCCCCCCCCCCOc2cccc(N3C(=O)c4ccc(-c5cccc6c5C(=O)N(*)C6=O)cc4C3=O)c2)c1,0.35408719,77,2,38,6,2,4,train
4472,1204736801,*N=Nc1ccc(Nc2ccc(C(=O)c3ccc(C(=O)c4ccc(Nc5ccc(*)cc5)cc4)cc3)cc2)cc1,0.38946168,67,2,32,2,4,3,train
4553,1225989211,*CCCC(=O)Nc1ccc(Oc2ccc(NC(=O)CCCN3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,0.33327208,90,2,37,8,4,7,train
1231,329844440,*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C)c(N3C(=O)c4ccc(*)cc4C3=O)c1)C2=O,0.38825862,64,2,24,5,2,5,train
4874,1320607876,*Oc1ccc(C2(c3ccc(OC(=O)CCCC(*)=O)cc3)c3ccccc3-c3ccccc32)cc1,0.36266451,59,2,30,4,0,2,train
7496,2025809998,*OC(Cc1ccccc1)C(*)=O,0.35974569,20,2,9,2,0,1,train
2962,805227128,*CC(*)(C)C(=O)OCCCCCCCCCCOc1ccc2cc(C(=O)Oc3ccccc3)ccc2c1,0.35687756,56,2,31,5,0,2,train
1186,317794773,*Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCC(*)=O)cc2)C(=O)OCC(C)C)cc1,0.34144884,60,2,26,7,1,4,train
4680,1260477255,*CCCCCCNC(=O)c1c(Cl)c(Cl)c(C(=O)N*)c(Cl)c1Cl,0.35512749,44,2,14,2,2,2,train
524,146156380,*Oc1ccc(C(=O)c2ccc(Oc3ccc(C(=O)c4ccc(Oc5ccc(Cc6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,0.37347921,76,2,39,5,0,2,train
2141,579082920,*Oc1ccc(N=CC=Nc2ccc(OC(=O)Nc3cc(NC(*)=O)ccc3C)cc2)cc1,0.35139659,53,2,23,4,4,4,train
7338,1981457097,*Oc1cccc(Oc2ccc(C(=O)c3ccc(NC(=O)c4cccc(C(=O)Nc5ccc(C(=O)c6ccc(*)cc6)cc5)c4)cc3)cc2)c1,0.35415935,86,2,40,6,2,4,train
5343,1451767844,*SC(C)C(*)=O,0.38098783,12,2,3,1,0,1,train
5685,1542525425,*c1ccc(Oc2ccc(N3C(=O)c4ccc(Oc5ccc(-c6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5)cc4C3=O)cc2)cc1,0.36540863,90,2,40,7,2,4,train
4533,1220722345,*CC(*)OC(=O)c1ccccc1OC,0.33690183,22,2,10,3,0,1,train
7634,2062460228,*OC(C)CCOC(=O)C(CCCCCCOc1ccc(N=Cc2ccc([N+](=O)[O-])cc2)cc1)C(*)=O,0.3535486,65,2,26,7,2,4,train
7954,2143661007,*c1cccc(P(=O)(c2ccccc2)c2cccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)c1,0.38226791,82,2,34,6,2,5,train
7381,1995309810,*NNC(=O)c1ccccc1C(=O)Nc1cccc(C=C2CCC(=Cc3cccc(NC(=O)c4ccccc4C(*)=O)c3)C2=O)c1,0.3556635,77,2,35,5,4,7,train
250,71861682,*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(C(=O)c4cccc(N5C(=O)c6ccc(*)cc6C5=O)c4)cc3)cc1)C2=O,0.36767673,87,2,37,6,2,6,train
6148,1669324306,*CC(*)c1ccc(C(O)CCN2CCOCC2)cc1,0.35614962,30,2,15,2,1,0,train
5863,1589532910,*C=CC1CC(*)C(C(=O)OC)C1C(=O)OC,0.35233888,30,2,11,4,0,3,train
4466,1203599832,*CCCCCC(=O)Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2)cc1,0.34816577,69,2,30,6,1,4,train
4012,1085397410,*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(OCCOc3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,0.35082943,75,2,31,7,2,5,train
1765,475921569,*CC(*)c1c([2H])c([2H])c([2H])c([2H])c1[2H],0.39369072,42,2,8,0,0,0,train
6349,1720647838,*CC1CC2CC1C1CCC(CN3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)C21,0.36864374,87,2,31,4,2,4,train
1419,381746717,*CCOCCOCCOCCOCCOC(=O)CCSCCC(=O)O*,0.34968925,33,2,16,8,0,2,train
4785,1294053022,*C1C2CCC(C2)C1*,0.39273913,15,2,7,0,0,0,train
1147,308535213,*CC=CN(C=CCC1CC(=O)N(c2ccc(Cc3ccc(N4C(=O)CC(*)C4=O)cc3)cc2)C1=O)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2)cc1,0.36429958,99,2,39,6,6,8,train
1371,369827633,*c1cccc(OCCCOc2cccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)c1,0.34661118,72,2,31,6,2,4,train
645,180321996,*CCCCCCCCCC[N+](*)(C)C,0.76931541,22,2,12,0,1,0,train
3103,841576889,*C(=O)c1ccc2c(c1)C(=O)N(c1cccc(P(=O)(c3ccc(Oc4ccc(C56CC7CC(CC(C7)C5)C6)cc4)cc3)c3cccc(N4C(=O)c5ccc(*)cc5C4=O)c3)c1)C2=O,0.38634637,119,2,51,7,2,6,train
1511,404981014,*C/C=C/COC(=O)CCCCCCCCC(=O)O*,0.35391939,29,2,14,4,0,3,train
1918,516007514,*c1ccc(Oc2ccc(-c3nc4cc(Oc5ccc(NC(=O)CN6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(CC(=O)Nc8ccc(Oc%10ccc%11nc(-c%12ccccc%12)c(*)nc%11c%10)cc8)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)ccc4nc3-c3ccccc3)cc2)cc1,0.37474439,189,2,75,9,8,6,train
490,136535007,*Nc1ccc2c(c1N*)[C@H]1c3ccccc3[C@@H]2c2ccccc21,0.37638503,45,2,20,0,2,0,train
1338,361271652,*N[C@@H]1C=c2c([nH]c(=O)n2N*)=C1N,0.31105409,33,2,6,1,5,3,train
7484,2022011396,*Oc1ccc(Oc2ccc(Nc3ccc(S(=O)(=O)c4ccc(Nc5ccc(*)cc5)cc4)cc3)cc2)cc1,0.39625118,65,2,30,4,2,2,train
6449,1750548820,*CC1(*)OCC(c2ccccc2)O1,0.35076731,22,2,10,2,0,0,train
4482,1206915036,*c1ccc2c(c1)C(=O)N(c1ccc(-c3ccc(Oc4ccc5c(c4)C(C)(c4ccc(Oc6ccc(-c7ccc(N8C(=O)c9ccc(C(*)(C(F)(F)F)C(F)(F)F)cc9C8=O)cc7)cc6C(F)(F)F)cc4)CC5(C)C)c(C(F)(F)F)c3)cc1)C2=O,0.38854581,163,2,63,6,2,4,train
2195,594735990,*CC(*)C(=O)OCCCCCCCCn1c2ccccc2c2ccccc21,0.36038485,39,2,22,2,0,1,train
594,165170378,*CC(*)Cc1ccc(C)cc1,0.3852781,18,2,10,0,0,0,train
4421,1190678672,*CC(*)c1ccc([Si](C)(C)C)cc1,0.43524245,27,2,11,0,0,0,train
3072,834450099,*C(=O)Nc1cc(NC(=O)c2cncc(*)c2)cc(-c2nnc(-c3ccccn3)o2)c1,0.36789463,55,2,20,3,6,2,train
6538,1778794604,*CC#CC(C#CCOC(=O)CCCCCCCCC(=O)O*)=Cc1ccc(C#Cc2ccc(C=C(C#Cc3ccccc3)C#Cc3ccccc3)cc2)cc1,0.397984,85,2,50,4,0,4,train
5088,1381195647,*c1ccc(NC2CC(=O)N(c3ccc(Cc4ccc(N5C(=O)CC(Nc6ccc(-c7nc(-c8ccc(C=Cc9ccc([N+](=O)[O-])cc9)cc8)[nH]c7*)cc6)C5=O)cc4)cc3)C2=O)cc1,0.37470794,124,2,50,6,7,6,train
3040,823244753,*Nc1nc(N*)c(N)nc1N,0.31946255,18,2,4,0,6,0,train
42,11301237,*c1ccc(Oc2ccc(-c3nc4ccc(Oc5ccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(c8ccc(Oc%10ccc%11nc(*)c(-c%12ccccc%12)nc%11c%10)cc8)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4nc3-c3ccccc3)cc2)cc1,0.40256926,175,2,71,7,6,4,train
203,59967073,*Nc1cccc(NC(=O)CCCCC(*)=O)c1,0.32263599,28,2,12,2,2,2,train
6056,1641679741,*Oc1cccc(OC(=O)c2ccc(Oc3ccc(C(*)=O)cc3)cc2)c1,0.34914542,45,2,20,5,0,2,train
4409,1187123244,*C/C=C\COC(=O)NCCCCCCNC(=O)O*,0.32961119,29,2,12,4,2,3,train
3536,967548475,*Nc1ccc(-c2cc(C/C=C/c3ccccc3)c(N*)c(C/C=C/c3ccccc3)c2-c2ccccc2)cc1,0.36169428,66,2,36,0,2,2,train
4181,1131929043,*Nc1ccc(C(=CC=C)c2ccc(N*)cc2)cc1,0.35869466,32,2,16,0,2,2,train
2847,774116157,*c1ccc(-c2ccc3c(c2)C(CCCCCCBr)(CCCCCCBr)c2cc(*)ccc2-3)cc1,0.41425239,57,2,31,0,0,0,train
7809,2103648490,*Nc1ccc2c(-c3ccccc3)c3ccccc3c(-c3ccccc3)c2c1N*,0.35655362,46,2,26,0,2,0,train
523,145920765,*Nc1ccc(-c2ccccc2)cc1-c1cc(-c2ccccc2)ccc1N*,0.34380582,43,2,24,0,2,0,train
3110,843575922,*CCOCCOCCOc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(O*)cc3)c2)cc1,0.34013313,54,2,26,6,2,2,train
5773,1566134688,*Oc1cc(C(C)(C)C)c(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1C(C)(C)C,0.40798893,57,2,27,3,0,1,train
1246,334621145,*CCCCOC(=O)CCSCCCCCCSCCC(=O)O*,0.37393849,30,2,16,4,0,2,train
7112,1920455411,*c1ccc(OCCN(CC)c2ccc(-c3ccc(C(=C(C#N)C#N)c4ccc(N(CC)CC)cc4)s3)cc2)c(-c2cc(-c3ccccc3)c3cc(Oc4ccc5nc(*)cc(-c6ccccc6)c5c4)ccc3n2)c1,0.40104761,128,2,64,2,6,1,train
5683,1541871733,*Nc1ccc(/C=C/c2ccc(N*)c(-c3ccc4ccccc4c3)c2-c2ccc3ccccc3c2)c(-c2ccc3ccccc3c2)c1-c1ccc2ccccc2c1,0.37000522,93,2,54,0,2,1,train
1385,372715194,*CC(*)OC(=O)c1ccc(OC(=O)CCC)cc1,0.34765241,31,2,13,4,0,2,train
112,31841016,*CC(*)(C)C(=O)OCCOC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,0.41138901,59,2,13,8,2,4,train
5350,1453450335,*Oc1cccc(Oc2cccc(NC(=O)c3cc(Oc4ccc(C(=O)O)c(C(=O)Nc5cccc(*)c5)c4)ccc3C(=O)O)c2)c1C#N,0.33531487,84,2,35,9,3,4,train
5970,1619167656,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(P(=O)(c4ccccc4)c4ccc(*)cc4)cc3)cc2)cc1,0.38096649,68,2,30,5,0,3,train
1854,502239610,*Nc1ccc2cccc3c2c1C=C(CC=C)[C@@H]3N*,0.33480182,35,2,16,0,2,2,train
6342,1718822131,*C=CC1CC(*)C2C(=O)N(c3cccc(Br)c3)C(=O)C12,0.39327609,41,2,15,2,1,3,train
606,169123787,*Nc1c(C)cc(C2(c3cc(C(C)C)c(N*)c(C(C)C)c3)c3ccccc3-c3ccccc32)cc1C,0.40404304,64,2,33,0,2,0,train
3349,916566560,*Nc1ccc([C@]2(C)CC(C)(C)c3cccc(N*)c32)cc1,0.36101129,41,2,18,0,2,0,train
7912,2130816588,*OC(=O)c1ccc(C(=O)OC2COC3C(*)COC23)o1,0.35695181,37,2,12,7,0,2,train
6820,1849868582,*CC(C)(CC)COC(=O)CCCCCCCCC(=O)O*,0.35879786,32,2,16,4,0,2,train
3721,1011779904,*CC(CC(Cl)(Cl)Cl)O*,0.37859237,19,2,4,1,0,0,train
2236,605814238,*Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCCC(*)=O)cc2)C(=O)OCC)cc1,0.33942304,58,2,26,7,1,4,train
1629,439339917,*NCC1C2CCC(C2)C1CN*,0.32950873,19,2,9,0,2,0,train
